country,year,variant,gender,freq,age5yearinterval,totaldeaths
180,1950,estimates,female,5yearly,0_4,392.783
180,1950,estimates,male,5yearly,0_4,438.204
180,1950,estimates,female,5yearly,5_9,47.662
180,1950,estimates,male,5yearly,5_9,45.637
180,1950,estimates,female,5yearly,10_14,27.093
180,1950,estimates,male,5yearly,10_14,24.832
180,1950,estimates,female,5yearly,15_19,21.875
180,1950,estimates,male,5yearly,15_19,21.676
180,1950,estimates,female,5yearly,20_24,22.635
180,1950,estimates,male,5yearly,20_24,24.81
180,1950,estimates,female,5yearly,25_29,22.663
180,1950,estimates,male,5yearly,25_29,23.235
180,1950,estimates,female,5yearly,30_34,22.498
180,1950,estimates,male,5yearly,30_34,20.348
180,1950,estimates,female,5yearly,35_39,21.809
180,1950,estimates,male,5yearly,35_39,19.238
180,1950,estimates,female,5yearly,40_44,20.112
180,1950,estimates,male,5yearly,40_44,18.876
180,1950,estimates,female,5yearly,45_49,18.605
180,1950,estimates,male,5yearly,45_49,18.483
180,1950,estimates,female,5yearly,50_54,18.891
180,1950,estimates,male,5yearly,50_54,18.449
180,1950,estimates,female,5yearly,55_59,21.091
180,1950,estimates,male,5yearly,55_59,19.253
180,1950,estimates,female,5yearly,60_64,23.965
180,1950,estimates,male,5yearly,60_64,19.82
180,1950,estimates,female,5yearly,65_69,26.859
180,1950,estimates,male,5yearly,65_69,20.327
180,1950,estimates,female,5yearly,70_74,29.505
180,1950,estimates,male,5yearly,70_74,21.495
180,1950,estimates,female,5yearly,75_79,29.848
180,1950,estimates,male,5yearly,75_79,21.629
180,1950,estimates,female,5yearly,80_84,26.969
180,1950,estimates,male,5yearly,80_84,20.739
180,1950,estimates,female,5yearly,85_89,15.675
180,1950,estimates,male,5yearly,85_89,11.624
180,1950,estimates,female,5yearly,90_94,4.799
180,1950,estimates,male,5yearly,90_94,2.896
180,1950,estimates,female,5yearly,95plus,0.891
180,1950,estimates,male,5yearly,95plus,0.371
180,1955,estimates,female,5yearly,0_4,412.175
180,1955,estimates,male,5yearly,0_4,463.158
180,1955,estimates,female,5yearly,5_9,48.563
180,1955,estimates,male,5yearly,5_9,47.619
180,1955,estimates,female,5yearly,10_14,28.48
180,1955,estimates,male,5yearly,10_14,26.69
180,1955,estimates,female,5yearly,15_19,23.27
180,1955,estimates,male,5yearly,15_19,23.623
180,1955,estimates,female,5yearly,20_24,24.067
180,1955,estimates,male,5yearly,20_24,27
180,1955,estimates,female,5yearly,25_29,24.079
180,1955,estimates,male,5yearly,25_29,25.274
180,1955,estimates,female,5yearly,30_34,23.842
180,1955,estimates,male,5yearly,30_34,22.079
180,1955,estimates,female,5yearly,35_39,23.048
180,1955,estimates,male,5yearly,35_39,20.803
180,1955,estimates,female,5yearly,40_44,21.385
180,1955,estimates,male,5yearly,40_44,20.431
180,1955,estimates,female,5yearly,45_49,19.795
180,1955,estimates,male,5yearly,45_49,20.097
180,1955,estimates,female,5yearly,50_54,20.093
180,1955,estimates,male,5yearly,50_54,19.934
180,1955,estimates,female,5yearly,55_59,22.267
180,1955,estimates,male,5yearly,55_59,20.403
180,1955,estimates,female,5yearly,60_64,25.564
180,1955,estimates,male,5yearly,60_64,21.486
180,1955,estimates,female,5yearly,65_69,28.338
180,1955,estimates,male,5yearly,65_69,21.791
180,1955,estimates,female,5yearly,70_74,28.667
180,1955,estimates,male,5yearly,70_74,20.606
180,1955,estimates,female,5yearly,75_79,26.226
180,1955,estimates,male,5yearly,75_79,18
180,1955,estimates,female,5yearly,80_84,20.39
180,1955,estimates,male,5yearly,80_84,13.46
180,1955,estimates,female,5yearly,85_89,12.456
180,1955,estimates,male,5yearly,85_89,8.176
180,1955,estimates,female,5yearly,90_94,4.578
180,1955,estimates,male,5yearly,90_94,2.711
180,1955,estimates,female,5yearly,95plus,0.858
180,1955,estimates,male,5yearly,95plus,0.352
180,1960,estimates,female,5yearly,0_4,452.402
180,1960,estimates,male,5yearly,0_4,508.526
180,1960,estimates,female,5yearly,5_9,51.715
180,1960,estimates,male,5yearly,5_9,51.401
180,1960,estimates,female,5yearly,10_14,29.856
180,1960,estimates,male,5yearly,10_14,28.681
180,1960,estimates,female,5yearly,15_19,25.122
180,1960,estimates,male,5yearly,15_19,26.124
180,1960,estimates,female,5yearly,20_24,26.184
180,1960,estimates,male,5yearly,20_24,30.05
180,1960,estimates,female,5yearly,25_29,26.131
180,1960,estimates,male,5yearly,25_29,28.043
180,1960,estimates,female,5yearly,30_34,25.836
180,1960,estimates,male,5yearly,30_34,24.498
180,1960,estimates,female,5yearly,35_39,24.966
180,1960,estimates,male,5yearly,35_39,23.028
180,1960,estimates,female,5yearly,40_44,23.155
180,1960,estimates,male,5yearly,40_44,22.559
180,1960,estimates,female,5yearly,45_49,21.563
180,1960,estimates,male,5yearly,45_49,22.263
180,1960,estimates,female,5yearly,50_54,21.866
180,1960,estimates,male,5yearly,50_54,22.209
180,1960,estimates,female,5yearly,55_59,24.197
180,1960,estimates,male,5yearly,55_59,22.574
180,1960,estimates,female,5yearly,60_64,27.625
180,1960,estimates,male,5yearly,60_64,23.351
180,1960,estimates,female,5yearly,65_69,31.019
180,1960,estimates,male,5yearly,65_69,24.248
180,1960,estimates,female,5yearly,70_74,31.175
180,1960,estimates,male,5yearly,70_74,22.754
180,1960,estimates,female,5yearly,75_79,26.438
180,1960,estimates,male,5yearly,75_79,17.942
180,1960,estimates,female,5yearly,80_84,18.728
180,1960,estimates,male,5yearly,80_84,11.774
180,1960,estimates,female,5yearly,85_89,9.994
180,1960,estimates,male,5yearly,85_89,5.74
180,1960,estimates,female,5yearly,90_94,3.772
180,1960,estimates,male,5yearly,90_94,1.958
180,1960,estimates,female,5yearly,95plus,0.867
180,1960,estimates,male,5yearly,95plus,0.352
180,1965,estimates,female,5yearly,0_4,492.674
180,1965,estimates,male,5yearly,0_4,553.803
180,1965,estimates,female,5yearly,5_9,56.401
180,1965,estimates,male,5yearly,5_9,56.169
180,1965,estimates,female,5yearly,10_14,31.689
180,1965,estimates,male,5yearly,10_14,30.898
180,1965,estimates,female,5yearly,15_19,26.312
180,1965,estimates,male,5yearly,15_19,28.163
180,1965,estimates,female,5yearly,20_24,28.136
180,1965,estimates,male,5yearly,20_24,33.104
180,1965,estimates,female,5yearly,25_29,28.27
180,1965,estimates,male,5yearly,25_29,31.057
180,1965,estimates,female,5yearly,30_34,27.841
180,1965,estimates,male,5yearly,30_34,27.052
180,1965,estimates,female,5yearly,35_39,26.914
180,1965,estimates,male,5yearly,35_39,25.425
180,1965,estimates,female,5yearly,40_44,25.024
180,1965,estimates,male,5yearly,40_44,24.863
180,1965,estimates,female,5yearly,45_49,23.33
180,1965,estimates,male,5yearly,45_49,24.545
180,1965,estimates,female,5yearly,50_54,23.812
180,1965,estimates,male,5yearly,50_54,24.624
180,1965,estimates,female,5yearly,55_59,26.301
180,1965,estimates,male,5yearly,55_59,25.189
180,1965,estimates,female,5yearly,60_64,30.056
180,1965,estimates,male,5yearly,60_64,25.944
180,1965,estimates,female,5yearly,65_69,33.685
180,1965,estimates,male,5yearly,65_69,26.526
180,1965,estimates,female,5yearly,70_74,34.398
180,1965,estimates,male,5yearly,70_74,25.533
180,1965,estimates,female,5yearly,75_79,29.216
180,1965,estimates,male,5yearly,75_79,20.17
180,1965,estimates,female,5yearly,80_84,19.35
180,1965,estimates,male,5yearly,80_84,12.087
180,1965,estimates,female,5yearly,85_89,9.51
180,1965,estimates,male,5yearly,85_89,5.253
180,1965,estimates,female,5yearly,90_94,3.173
180,1965,estimates,male,5yearly,90_94,1.473
180,1965,estimates,female,5yearly,95plus,0.749
180,1965,estimates,male,5yearly,95plus,0.27
180,1970,estimates,female,5yearly,0_4,522.408
180,1970,estimates,male,5yearly,0_4,587.176
180,1970,estimates,female,5yearly,5_9,60.317
180,1970,estimates,male,5yearly,5_9,60.245
180,1970,estimates,female,5yearly,10_14,34.048
180,1970,estimates,male,5yearly,10_14,33.372
180,1970,estimates,female,5yearly,15_19,27.462
180,1970,estimates,male,5yearly,15_19,30.021
180,1970,estimates,female,5yearly,20_24,29.017
180,1970,estimates,male,5yearly,20_24,35.18
180,1970,estimates,female,5yearly,25_29,29.873
180,1970,estimates,male,5yearly,25_29,33.689
180,1970,estimates,female,5yearly,30_34,29.566
180,1970,estimates,male,5yearly,30_34,29.522
180,1970,estimates,female,5yearly,35_39,28.539
180,1970,estimates,male,5yearly,35_39,27.651
180,1970,estimates,female,5yearly,40_44,26.649
180,1970,estimates,male,5yearly,40_44,27.044
180,1970,estimates,female,5yearly,45_49,24.967
180,1970,estimates,male,5yearly,45_49,26.736
180,1970,estimates,female,5yearly,50_54,25.526
180,1970,estimates,male,5yearly,50_54,26.899
180,1970,estimates,female,5yearly,55_59,28.351
180,1970,estimates,male,5yearly,55_59,27.677
180,1970,estimates,female,5yearly,60_64,32.434
180,1970,estimates,male,5yearly,60_64,28.795
180,1970,estimates,female,5yearly,65_69,36.545
180,1970,estimates,male,5yearly,65_69,29.419
180,1970,estimates,female,5yearly,70_74,37.441
180,1970,estimates,male,5yearly,70_74,27.989
180,1970,estimates,female,5yearly,75_79,32.492
180,1970,estimates,male,5yearly,75_79,22.815
180,1970,estimates,female,5yearly,80_84,21.798
180,1970,estimates,male,5yearly,80_84,13.904
180,1970,estimates,female,5yearly,85_89,10.147
180,1970,estimates,male,5yearly,85_89,5.628
180,1970,estimates,female,5yearly,90_94,3.149
180,1970,estimates,male,5yearly,90_94,1.428
180,1970,estimates,female,5yearly,95plus,0.663
180,1970,estimates,male,5yearly,95plus,0.22
180,1975,estimates,female,5yearly,0_4,577.751
180,1975,estimates,male,5yearly,0_4,649.591
180,1975,estimates,female,5yearly,5_9,66.852
180,1975,estimates,male,5yearly,5_9,66.952
180,1975,estimates,female,5yearly,10_14,38.031
180,1975,estimates,male,5yearly,10_14,37.414
180,1975,estimates,female,5yearly,15_19,30.697
180,1975,estimates,male,5yearly,15_19,33.766
180,1975,estimates,female,5yearly,20_24,31.369
180,1975,estimates,male,5yearly,20_24,38.71
180,1975,estimates,female,5yearly,25_29,31.778
180,1975,estimates,male,5yearly,25_29,36.802
180,1975,estimates,female,5yearly,30_34,32.196
180,1975,estimates,male,5yearly,30_34,32.968
180,1975,estimates,female,5yearly,35_39,31.32
180,1975,estimates,male,5yearly,35_39,31.072
180,1975,estimates,female,5yearly,40_44,29.259
