agebroad,percentagetotalpopulation,country,variant,year
"Region, subregion, country or area *",United Arab Emirates,784,estimates,1950
0_1,7.533,784,estimates,1950
0_4,17.287,784,estimates,1950
0_14,42.257,784,estimates,1950
0_17,48.405,784,estimates,1950
0_19,52.222,784,estimates,1950
0_24,60.804,784,estimates,1950
3_4,6.321,784,estimates,1950
3_5,9.252,784,estimates,1950
3_6,12.051,784,estimates,1950
4_5,6.007,784,estimates,1950
4_6,8.806,784,estimates,1950
5_14,24.97,784,estimates,1950
5_10,15.924,784,estimates,1950
5_11,18.282,784,estimates,1950
6_9,10.571,784,estimates,1950
6_10,12.994,784,estimates,1950
6_11,15.352,784,estimates,1950
6_12,17.647,784,estimates,1950
7_10,10.194,784,estimates,1950
7_12,14.847,784,estimates,1950
11_16,13.199,784,estimates,1950
11_17,15.194,784,estimates,1950
11_18,17.131,784,estimates,1950
12_14,6.688,784,estimates,1950
12_16,10.841,784,estimates,1950
12_17,12.836,784,estimates,1950
12_18,14.773,784,estimates,1950
13_17,10.541,784,estimates,1950
13_18,12.478,784,estimates,1950
13_19,14.357,784,estimates,1950
15_17,6.148,784,estimates,1950
18_23,10.788,784,estimates,1950
15_24,18.546,784,estimates,1950
15_49,45.906,784,estimates,1950
15_59,52.089,784,estimates,1950
15_64,54.318,784,estimates,1950
20_64,44.354,784,estimates,1950
20_69,45.982,784,estimates,1950
25_49,27.36,784,estimates,1950
25_64,35.772,784,estimates,1950
25_69,37.4,784,estimates,1950
15plus,57.743,784,estimates,1950
16plus,55.639,784,estimates,1950
17plus,53.59,784,estimates,1950
18plus,51.595,784,estimates,1950
20plus,47.778,784,estimates,1950
21plus,45.955,784,estimates,1950
25plus,39.196,784,estimates,1950
50plus,11.837,784,estimates,1950
60plus,5.653,784,estimates,1950
65plus,3.424,784,estimates,1950
70plus,1.796,784,estimates,1950
75plus,0.759,784,estimates,1950
80plus,0.227,784,estimates,1950
85plus,0.065,784,estimates,1950
90plus,0.013,784,estimates,1950
total,100,784,estimates,1950
"Region, subregion, country or area *",United Arab Emirates,784,estimates,1951
0_1,7.695,784,estimates,1951
0_4,17.561,784,estimates,1951
0_14,42.568,784,estimates,1951
0_17,48.675,784,estimates,1951
0_19,52.472,784,estimates,1951
0_24,61.013,784,estimates,1951
3_4,6.39,784,estimates,1951
3_5,9.346,784,estimates,1951
3_6,12.169,784,estimates,1951
4_5,6.065,784,estimates,1951
4_6,8.887,784,estimates,1951
5_14,25.007,784,estimates,1951
5_10,16.006,784,estimates,1951
5_11,18.351,784,estimates,1951
6_9,10.63,784,estimates,1951
6_10,13.05,784,estimates,1951
6_11,15.395,784,estimates,1951
6_12,17.677,784,estimates,1951
7_10,10.227,784,estimates,1951
7_12,14.854,784,estimates,1951
11_16,13.128,784,estimates,1951
11_17,15.108,784,estimates,1951
11_18,17.035,784,estimates,1951
12_14,6.656,784,estimates,1951
12_16,10.783,784,estimates,1951
12_17,12.763,784,estimates,1951
12_18,14.69,784,estimates,1951
13_17,10.481,784,estimates,1951
13_18,12.408,784,estimates,1951
13_19,14.278,784,estimates,1951
15_17,6.107,784,estimates,1951
18_23,10.734,784,estimates,1951
15_24,18.445,784,estimates,1951
15_49,45.663,784,estimates,1951
15_59,51.783,784,estimates,1951
15_64,53.99,784,estimates,1951
20_64,44.086,784,estimates,1951
20_69,45.698,784,estimates,1951
25_49,27.218,784,estimates,1951
25_64,35.545,784,estimates,1951
25_69,37.157,784,estimates,1951
15plus,57.432,784,estimates,1951
16plus,55.339,784,estimates,1951
17plus,53.305,784,estimates,1951
18plus,51.325,784,estimates,1951
20plus,47.528,784,estimates,1951
21plus,45.714,784,estimates,1951
25plus,38.987,784,estimates,1951
50plus,11.769,784,estimates,1951
60plus,5.649,784,estimates,1951
65plus,3.442,784,estimates,1951
70plus,1.83,784,estimates,1951
75plus,0.795,784,estimates,1951
80plus,0.251,784,estimates,1951
85plus,0.067,784,estimates,1951
90plus,0.013,784,estimates,1951
total,100,784,estimates,1951
"Region, subregion, country or area *",United Arab Emirates,784,estimates,1952
0_1,7.796,784,estimates,1952
0_4,17.756,784,estimates,1952
0_14,42.828,784,estimates,1952
0_17,48.906,784,estimates,1952
0_19,52.684,784,estimates,1952
0_24,61.189,784,estimates,1952
3_4,6.449,784,estimates,1952
3_5,9.429,784,estimates,1952
3_6,12.27,784,estimates,1952
4_5,6.116,784,estimates,1952
4_6,8.957,784,estimates,1952
5_14,25.071,784,estimates,1952
5_10,16.095,784,estimates,1952
5_11,18.441,784,estimates,1952
6_9,10.689,784,estimates,1952
6_10,13.116,784,estimates,1952
6_11,15.461,784,estimates,1952
6_12,17.735,784,estimates,1952
7_10,10.275,784,estimates,1952
7_12,14.894,784,estimates,1952
11_16,13.087,784,estimates,1952
11_17,15.054,784,estimates,1952
11_18,16.97,784,estimates,1952
12_14,6.63,784,estimates,1952
12_16,10.741,784,estimates,1952
12_17,12.709,784,estimates,1952
12_18,14.624,784,estimates,1952
13_17,10.435,784,estimates,1952
13_18,12.351,784,estimates,1952
13_19,14.213,784,estimates,1952
15_17,6.079,784,estimates,1952
18_23,10.684,784,estimates,1952
15_24,18.361,784,estimates,1952
15_49,45.458,784,estimates,1952
15_59,51.524,784,estimates,1952
15_64,53.718,784,estimates,1952
20_64,43.861,784,estimates,1952
20_69,45.464,784,estimates,1952
25_49,27.097,784,estimates,1952
25_64,35.356,784,estimates,1952
25_69,36.959,784,estimates,1952
15plus,57.172,784,estimates,1952
16plus,55.086,784,estimates,1952
17plus,53.062,784,estimates,1952
18plus,51.094,784,estimates,1952
20plus,47.316,784,estimates,1952
21plus,45.509,784,estimates,1952
25plus,38.811,784,estimates,1952
50plus,11.714,784,estimates,1952
60plus,5.648,784,estimates,1952
65plus,3.455,784,estimates,1952
70plus,1.852,784,estimates,1952
75plus,0.82,784,estimates,1952
80plus,0.269,784,estimates,1952
85plus,0.068,784,estimates,1952
90plus,0.016,784,estimates,1952
total,100,784,estimates,1952
"Region, subregion, country or area *",United Arab Emirates,784,estimates,1953
0_1,7.852,784,estimates,1953
0_4,17.852,784,estimates,1953
0_14,43.008,784,estimates,1953
0_17,49.069,784,estimates,1953
0_19,52.828,784,estimates,1953
0_24,61.311,784,estimates,1953
3_4,6.503,784,estimates,1953
3_5,9.504,784,estimates,1953
3_6,12.364,784,estimates,1953
4_5,6.163,784,estimates,1953
4_6,9.022,784,estimates,1953
5_14,25.156,784,estimates,1953
5_10,16.182,784,estimates,1953
5_11,18.536,784,estimates,1953
6_9,10.742,784,estimates,1953
6_10,13.181,784,estimates,1953
6_11,15.535,784,estimates,1953
6_12,17.809,784,estimates,1953
7_10,10.321,784,estimates,1953
7_12,14.95,784,estimates,1953
11_16,13.074,784,estimates,1953
11_17,15.035,784,estimates,1953
11_18,16.941,784,estimates,1953
12_14,6.62,784,estimates,1953
12_16,10.72,784,estimates,1953
12_17,12.681,784,estimates,1953
12_18,14.586,784,estimates,1953
13_17,10.406,784,estimates,1953
13_18,12.312,784,estimates,1953
13_19,14.165,784,estimates,1953
15_17,6.061,784,estimates,1953
18_23,10.648,784,estimates,1953
15_24,18.302,784,estimates,1953
15_49,45.324,784,estimates,1953
15_59,51.349,784,estimates,1953
15_64,53.532,784,estimates,1953
20_64,43.712,784,estimates,1953
20_69,45.31,784,estimates,1953
25_49,27.022,784,estimates,1953
25_64,35.229,784,estimates,1953
25_69,36.828,784,estimates,1953
15plus,56.992,784,estimates,1953
16plus,54.911,784,estimates,1953
17plus,52.891,784,estimates,1953
18plus,50.931,784,estimates,1953
20plus,47.172,784,estimates,1953
21plus,45.37,784,estimates,1953
25plus,38.689,784,estimates,1953
50plus,11.667,784,estimates,1953
60plus,5.642,784,estimates,1953
65plus,3.46,784,estimates,1953
70plus,1.861,784,estimates,1953
75plus,0.827,784,estimates,1953
80plus,0.278,784,estimates,1953
85plus,0.066,784,estimates,1953
90plus,0.018,784,estimates,1953
total,100,784,estimates,1953
"Region, subregion, country or area *",United Arab Emirates,784,estimates,1954
0_1,7.875,784,estimates,1954
0_4,17.911,784,estimates,1954
0_14,43.149,784,estimates,1954
0_17,49.201,784,estimates,1954
0_19,52.948,784,estimates,1954
0_24,61.41,784,estimates,1954
3_4,6.496,784,estimates,1954
3_5,9.512,784,estimates,1954
3_6,12.384,784,estimates,1954
4_5,6.194,784,estimates,1954
4_6,9.066,784,estimates,1954
5_14,25.238,784,estimates,1954
5_10,16.241,784,estimates,1954
5_11,18.606,784,estimates,1954
6_9,10.779,784,estimates,1954
6_10,13.225,784,estimates,1954
6_11,15.59,784,estimates,1954
6_12,17.875,784,estimates,1954
7_10,10.353,784,estimates,1954
7_12,15.003,784,estimates,1954
11_16,13.091,784,estimates,1954
11_17,15.048,784,estimates,1954
11_18,16.949,784,estimates,1954
12_14,6.632,784,estimates,1954
12_16,10.726,784,estimates,1954
12_17,12.684,784,estimates,1954
12_18,14.584,784,estimates,1954
13_17,10.399,784,estimates,1954
13_18,12.299,784,estimates,1954
13_19,14.146,784,estimates,1954
15_17,6.052,784,estimates,1954
18_23,10.62,784,estimates,1954
15_24,18.261,784,estimates,1954
15_49,45.218,784,estimates,1954
15_59,51.21,784,estimates,1954
15_64,53.39,784,estimates,1954
20_64,43.591,784,estimates,1954
20_69,45.19,784,estimates,1954
25_49,26.958,784,estimates,1954
25_64,35.129,784,estimates,1954
25_69,36.728,784,estimates,1954
15plus,56.851,784,estimates,1954
16plus,54.774,784,estimates,1954
17plus,52.757,784,estimates,1954
18plus,50.799,784,estimates,1954
20plus,47.052,784,estimates,1954
21plus,45.256,784,estimates,1954
25plus,38.59,784,estimates,1954
50plus,11.632,784,estimates,1954
60plus,5.641,784,estimates,1954
65plus,3.461,784,estimates,1954
70plus,1.862,784,estimates,1954
75plus,0.828,784,estimates,1954
80plus,0.279,784,estimates,1954
85plus,0.063,784,estimates,1954
90plus,0.014,784,estimates,1954
total,100,784,estimates,1954
"Region, subregion, country or area *",United Arab Emirates,784,estimates,1955
0_1,7.878,784,estimates,1955
0_4,18.015,784,estimates,1955
0_14,43.286,784,estimates,1955
0_17,49.331,784,estimates,1955
0_19,53.071,784,estimates,1955
0_24,61.513,784,estimates,1955
3_4,6.558,784,estimates,1955
3_5,9.581,784,estimates,1955
3_6,12.457,784,estimates,1955
4_5,6.209,784,estimates,1955
4_6,9.085,784,estimates,1955
5_14,25.271,784,estimates,1955
5_10,16.253,784,estimates,1955
5_11,18.619,784,estimates,1955
6_9,10.788,784,estimates,1955
6_10,13.231,784,estimates,1955
6_11,15.597,784,estimates,1955
6_12,17.889,784,estimates,1955
7_10,10.355,784,estimates,1955
7_12,15.013,784,estimates,1955
11_16,13.108,784,estimates,1955
11_17,15.063,784,estimates,1955
11_18,16.961,784,estimates,1955
12_14,6.651,784,estimates,1955
12_16,10.742,784,estimates,1955
12_17,12.697,784,estimates,1955
12_18,14.594,784,estimates,1955
13_17,10.405,784,estimates,1955
13_18,12.302,784,estimates,1955
13_19,14.145,784,estimates,1955
15_17,6.046,784,estimates,1955
18_23,10.595,784,estimates,1955
15_24,18.227,784,estimates,1955
15_49,45.118,784,estimates,1955
15_59,51.083,784,estimates,1955
15_64,53.261,784,estimates,1955
20_64,43.476,784,estimates,1955
20_69,45.079,784,estimates,1955
25_49,26.891,784,estimates,1955
25_64,35.034,784,estimates,1955
25_69,36.637,784,estimates,1955
15plus,56.714,784,estimates,1955
16plus,54.638,784,estimates,1955
17plus,52.624,784,estimates,1955
18plus,50.669,784,estimates,1955
20plus,46.929,784,estimates,1955
21plus,45.139,784,estimates,1955
25plus,38.487,784,estimates,1955
50plus,11.596,784,estimates,1955
60plus,5.631,784,estimates,1955
65plus,3.453,784,estimates,1955
70plus,1.85,784,estimates,1955
75plus,0.812,784,estimates,1955
80plus,0.266,784,estimates,1955
85plus,0.055,784,estimates,1955
90plus,0.01,784,estimates,1955
total,100,784,estimates,1955
"Region, subregion, country or area *",United Arab Emirates,784,estimates,1956
0_1,7.911,784,estimates,1956
0_4,18.217,784,estimates,1956
0_14,43.623,784,estimates,1956
0_17,49.641,784,estimates,1956
0_19,53.359,784,estimates,1956
0_24,61.748,784,estimates,1956
3_4,6.666,784,estimates,1956
3_5,9.733,784,estimates,1956
3_6,12.645,784,estimates,1956
4_5,6.305,784,estimates,1956
4_6,9.217,784,estimates,1956
5_14,25.406,784,estimates,1956
5_10,16.401,784,estimates,1956
5_11,18.763,784,estimates,1956
6_9,10.887,784,estimates,1956
6_10,13.335,784,estimates,1956
6_11,15.696,784,estimates,1956
6_12,17.983,784,estimates,1956
7_10,10.422,784,estimates,1956
7_12,15.071,784,estimates,1956
11_16,13.079,784,estimates,1956
11_17,15.023,784,estimates,1956
11_18,16.909,784,estimates,1956
12_14,6.643,784,estimates,1956
12_16,10.717,784,estimates,1956
12_17,12.661,784,estimates,1956
12_18,14.548,784,estimates,1956
13_17,10.374,784,estimates,1956
13_18,12.261,784,estimates,1956
13_19,14.092,784,estimates,1956
15_17,6.018,784,estimates,1956
18_23,10.527,784,estimates,1956
15_24,18.125,784,estimates,1956
15_49,44.865,784,estimates,1956
15_59,50.764,784,estimates,1956
15_64,52.915,784,estimates,1956
20_64,43.178,784,estimates,1956
20_69,44.766,784,estimates,1956
25_49,26.74,784,estimates,1956
25_64,34.79,784,estimates,1956
25_69,36.378,784,estimates,1956
15plus,56.377,784,estimates,1956
16plus,54.307,784,estimates,1956
17plus,52.303,784,estimates,1956
18plus,50.359,784,estimates,1956
20plus,46.641,784,estimates,1956
21plus,44.863,784,estimates,1956
25plus,38.252,784,estimates,1956
50plus,11.512,784,estimates,1956
60plus,5.613,784,estimates,1956
65plus,3.462,784,estimates,1956
70plus,1.874,784,estimates,1956
75plus,0.841,784,estimates,1956
80plus,0.288,784,estimates,1956
85plus,0.065,784,estimates,1956
90plus,0.011,784,estimates,1956
total,100,784,estimates,1956
"Region, subregion, country or area *",United Arab Emirates,784,estimates,1957
0_1,7.829,784,estimates,1957
0_4,18.29,784,estimates,1957
0_14,43.881,784,estimates,1957
0_17,49.89,784,estimates,1957
0_19,53.592,784,estimates,1957
0_24,61.935,784,estimates,1957
3_4,6.768,784,estimates,1957
3_5,9.88,784,estimates,1957
3_6,12.833,784,estimates,1957
4_5,6.4,784,estimates,1957
4_6,9.353,784,estimates,1957
5_14,25.591,784,estimates,1957
5_10,16.584,784,estimates,1957
5_11,18.953,784,estimates,1957
6_9,11.01,784,estimates,1957
6_10,13.472,784,estimates,1957
6_11,15.841,784,estimates,1957
6_12,18.127,784,estimates,1957
7_10,10.519,784,estimates,1957
7_12,15.174,784,estimates,1957
11_16,13.078,784,estimates,1957
11_17,15.017,784,estimates,1957
11_18,16.896,784,estimates,1957
12_14,6.638,784,estimates,1957
12_16,10.709,784,estimates,1957
12_17,12.647,784,estimates,1957
12_18,14.527,784,estimates,1957
13_17,10.361,784,estimates,1957
13_18,12.241,784,estimates,1957
13_19,14.063,784,estimates,1957
15_17,6.01,784,estimates,1957
18_23,10.472,784,estimates,1957
15_24,18.054,784,estimates,1957
15_49,44.674,784,estimates,1957
15_59,50.521,784,estimates,1957
15_64,52.652,784,estimates,1957
20_64,42.941,784,estimates,1957
20_69,44.518,784,estimates,1957
25_49,26.62,784,estimates,1957
25_64,34.598,784,estimates,1957
25_69,36.175,784,estimates,1957
15plus,56.119,784,estimates,1957
16plus,54.048,784,estimates,1957
17plus,52.048,784,estimates,1957
18plus,50.11,784,estimates,1957
20plus,46.408,784,estimates,1957
21plus,44.639,784,estimates,1957
25plus,38.065,784,estimates,1957
50plus,11.445,784,estimates,1957
60plus,5.598,784,estimates,1957
65plus,3.467,784,estimates,1957
70plus,1.89,784,estimates,1957
75plus,0.86,784,estimates,1957
80plus,0.302,784,estimates,1957
85plus,0.072,784,estimates,1957
90plus,0.012,784,estimates,1957
total,100,784,estimates,1957
"Region, subregion, country or area *",United Arab Emirates,784,estimates,1958
0_1,7.848,784,estimates,1958
0_4,18.324,784,estimates,1958
0_14,44.117,784,estimates,1958
0_17,50.122,784,estimates,1958
0_19,53.812,784,estimates,1958
0_24,62.113,784,estimates,1958
3_4,6.846,784,estimates,1958
3_5,9.998,784,estimates,1958
3_6,12.989,784,estimates,1958
4_5,6.478,784,estimates,1958
4_6,9.469,784,estimates,1958
5_14,25.793,784,estimates,1958
5_10,16.768,784,estimates,1958
5_11,19.15,784,estimates,1958
6_9,11.137,784,estimates,1958
6_10,13.617,784,estimates,1958
6_11,15.998,784,estimates,1958
6_12,18.29,784,estimates,1958
7_10,10.626,784,estimates,1958
7_12,15.299,784,estimates,1958
11_16,13.095,784,estimates,1958
11_17,15.03,784,estimates,1958
11_18,16.903,784,estimates,1958
12_14,6.643,784,estimates,1958
12_16,10.713,784,estimates,1958
12_17,12.648,784,estimates,1958
12_18,14.521,784,estimates,1958
13_17,10.356,784,estimates,1958
13_18,12.229,784,estimates,1958
13_19,14.046,784,estimates,1958
15_17,6.005,784,estimates,1958
18_23,10.427,784,estimates,1958
15_24,17.996,784,estimates,1958
15_49,44.501,784,estimates,1958
15_59,50.305,784,estimates,1958
15_64,52.419,784,estimates,1958
20_64,42.724,784,estimates,1958
20_69,44.292,784,estimates,1958
25_49,26.506,784,estimates,1958
25_64,34.423,784,estimates,1958
25_69,35.991,784,estimates,1958
15plus,55.883,784,estimates,1958
16plus,53.813,784,estimates,1958
17plus,51.812,784,estimates,1958
18plus,49.878,784,estimates,1958
20plus,46.188,784,estimates,1958
21plus,44.427,784,estimates,1958
25plus,37.887,784,estimates,1958
50plus,11.381,784,estimates,1958
60plus,5.578,784,estimates,1958
65plus,3.464,784,estimates,1958
70plus,1.896,784,estimates,1958
75plus,0.868,784,estimates,1958
80plus,0.309,784,estimates,1958
85plus,0.077,784,estimates,1958
90plus,0.012,784,estimates,1958
total,100,784,estimates,1958
"Region, subregion, country or area *",United Arab Emirates,784,estimates,1959
0_1,7.912,784,estimates,1959
0_4,18.403,784,estimates,1959
0_14,44.375,784,estimates,1959
0_17,50.375,784,estimates,1959
0_19,54.054,784,estimates,1959
0_24,62.31,784,estimates,1959
3_4,6.829,784,estimates,1959
3_5,10.007,784,estimates,1959
3_6,13.025,784,estimates,1959
4_5,6.527,784,estimates,1959
4_6,9.545,784,estimates,1959
5_14,25.972,784,estimates,1959
5_10,16.919,784,estimates,1959
5_11,19.315,784,estimates,1959
6_9,11.242,784,estimates,1959
6_10,13.742,784,estimates,1959
6_11,16.137,784,estimates,1959
6_12,18.439,784,estimates,1959
7_10,10.723,784,estimates,1959
7_12,15.421,784,estimates,1959
11_16,13.12,784,estimates,1959
11_17,15.053,784,estimates,1959
11_18,16.923,784,estimates,1959
12_14,6.657,784,estimates,1959
12_16,10.724,784,estimates,1959
12_17,12.658,784,estimates,1959
12_18,14.527,784,estimates,1959
13_17,10.356,784,estimates,1959
13_18,12.225,784,estimates,1959
13_19,14.035,784,estimates,1959
15_17,6.0,784,estimates,1959
18_23,10.382,784,estimates,1959
15_24,17.935,784,estimates,1959
15_49,44.313,784,estimates,1959
15_59,50.073,784,estimates,1959
15_64,52.171,784,estimates,1959
20_64,42.492,784,estimates,1959
20_69,44.055,784,estimates,1959
25_49,26.379,784,estimates,1959
25_64,34.237,784,estimates,1959
25_69,35.799,784,estimates,1959
15plus,55.625,784,estimates,1959
16plus,53.558,784,estimates,1959
17plus,51.558,784,estimates,1959
18plus,49.625,784,estimates,1959
20plus,45.946,784,estimates,1959
21plus,44.192,784,estimates,1959
25plus,37.69,784,estimates,1959
50plus,11.312,784,estimates,1959
60plus,5.552,784,estimates,1959
65plus,3.453,784,estimates,1959
70plus,1.891,784,estimates,1959
75plus,0.864,784,estimates,1959
80plus,0.307,784,estimates,1959
85plus,0.076,784,estimates,1959
90plus,0.011,784,estimates,1959
total,100,784,estimates,1959
"Region, subregion, country or area *",United Arab Emirates,784,estimates,1960
0_1,8.028,784,estimates,1960
0_4,18.605,784,estimates,1960
0_14,44.693,784,estimates,1960
0_17,50.682,784,estimates,1960
0_19,54.349,784,estimates,1960
0_24,62.558,784,estimates,1960
3_4,6.868,784,estimates,1960
3_5,10.05,784,estimates,1960
3_6,13.081,784,estimates,1960
4_5,6.529,784,estimates,1960
4_6,9.559,784,estimates,1960
5_14,26.088,784,estimates,1960
5_10,17.001,784,estimates,1960
5_11,19.412,784,estimates,1960
6_9,11.303,784,estimates,1960
6_10,13.819,784,estimates,1960
6_11,16.229,784,estimates,1960
6_12,18.542,784,estimates,1960
7_10,10.789,784,estimates,1960
7_12,15.512,784,estimates,1960
11_16,13.146,784,estimates,1960
11_17,15.075,784,estimates,1960
11_18,16.94,784,estimates,1960
12_14,6.676,784,estimates,1960
12_16,10.736,784,estimates,1960
12_17,12.665,784,estimates,1960
12_18,14.529,784,estimates,1960
13_17,10.353,784,estimates,1960
13_18,12.217,784,estimates,1960
13_19,14.02,784,estimates,1960
15_17,5.989,784,estimates,1960
18_23,10.334,784,estimates,1960
15_24,17.865,784,estimates,1960
15_49,44.087,784,estimates,1960
15_59,49.798,784,estimates,1960
15_64,51.881,784,estimates,1960
20_64,42.224,784,estimates,1960
20_69,43.779,784,estimates,1960
25_49,26.223,784,estimates,1960
25_64,34.016,784,estimates,1960
25_69,35.57,784,estimates,1960
15plus,55.307,784,estimates,1960
16plus,53.242,784,estimates,1960
17plus,51.247,784,estimates,1960
18plus,49.318,784,estimates,1960
20plus,45.651,784,estimates,1960
21plus,43.905,784,estimates,1960
25plus,37.442,784,estimates,1960
50plus,11.219,784,estimates,1960
60plus,5.509,784,estimates,1960
65plus,3.426,784,estimates,1960
70plus,1.872,784,estimates,1960
75plus,0.846,784,estimates,1960
80plus,0.293,784,estimates,1960
85plus,0.068,784,estimates,1960
90plus,0.009,784,estimates,1960
total,100,784,estimates,1960
"Region, subregion, country or area *",United Arab Emirates,784,estimates,1961
0_1,7.601,784,estimates,1961
0_4,17.643,784,estimates,1961
0_14,43.55,784,estimates,1961
0_17,50.031,784,estimates,1961
0_19,54.128,784,estimates,1961
0_24,63.21,784,estimates,1961
3_4,6.529,784,estimates,1961
3_5,9.574,784,estimates,1961
3_6,12.491,784,estimates,1961
4_5,6.232,784,estimates,1961
4_6,9.149,784,estimates,1961
5_14,25.907,784,estimates,1961
5_10,16.578,784,estimates,1961
5_11,19.011,784,estimates,1961
6_9,11.02,784,estimates,1961
6_10,13.533,784,estimates,1961
6_11,15.966,784,estimates,1961
6_12,18.324,784,estimates,1961
7_10,10.616,784,estimates,1961
7_12,15.407,784,estimates,1961
11_16,13.686,784,estimates,1961
11_17,15.81,784,estimates,1961
11_18,17.888,784,estimates,1961
12_14,6.896,784,estimates,1961
12_16,11.254,784,estimates,1961
12_17,13.377,784,estimates,1961
12_18,15.455,784,estimates,1961
13_17,11.018,784,estimates,1961
13_18,13.097,784,estimates,1961
13_19,15.115,784,estimates,1961
15_17,6.481,784,estimates,1961
18_23,11.488,784,estimates,1961
15_24,19.66,784,estimates,1961
15_49,46.426,784,estimates,1961
15_59,51.447,784,estimates,1961
15_64,53.28,784,estimates,1961
20_64,42.702,784,estimates,1961
20_69,44.119,784,estimates,1961
25_49,26.765,784,estimates,1961
25_64,33.62,784,estimates,1961
25_69,35.037,784,estimates,1961
15plus,56.45,784,estimates,1961
16plus,54.251,784,estimates,1961
17plus,52.092,784,estimates,1961
18plus,49.969,784,estimates,1961
20plus,45.872,784,estimates,1961
21plus,43.924,784,estimates,1961
25plus,36.79,784,estimates,1961
50plus,10.025,784,estimates,1961
60plus,5.003,784,estimates,1961
65plus,3.171,784,estimates,1961
70plus,1.753,784,estimates,1961
75plus,0.809,784,estimates,1961
80plus,0.292,784,estimates,1961
85plus,0.073,784,estimates,1961
90plus,0.01,784,estimates,1961
total,100,784,estimates,1961
"Region, subregion, country or area *",United Arab Emirates,784,estimates,1962
0_1,7.3,784,estimates,1962
0_4,16.874,784,estimates,1962
0_14,42.251,784,estimates,1962
0_17,48.973,784,estimates,1962
0_19,53.39,784,estimates,1962
0_24,63.314,784,estimates,1962
3_4,6.222,784,estimates,1962
3_5,9.13,784,estimates,1962
3_6,11.925,784,estimates,1962
4_5,5.945,784,estimates,1962
4_6,8.74,784,estimates,1962
5_14,25.377,784,estimates,1962
5_10,16.023,784,estimates,1962
5_11,18.434,784,estimates,1962
6_9,10.643,784,estimates,1962
6_10,13.114,784,estimates,1962
6_11,15.526,784,estimates,1962
6_12,17.884,784,estimates,1962
7_10,10.32,784,estimates,1962
7_12,15.09,784,estimates,1962
11_16,13.848,784,estimates,1962
11_17,16.077,784,estimates,1962
11_18,18.299,784,estimates,1962
12_14,6.943,784,estimates,1962
12_16,11.437,784,estimates,1962
12_17,13.666,784,estimates,1962
12_18,15.888,784,estimates,1962
13_17,11.307,784,estimates,1962
13_18,13.529,784,estimates,1962
13_19,15.724,784,estimates,1962
15_17,6.723,784,estimates,1962
18_23,12.507,784,estimates,1962
15_24,21.064,784,estimates,1962
15_49,48.706,784,estimates,1962
15_59,53.219,784,estimates,1962
15_64,54.808,784,estimates,1962
20_64,43.669,784,estimates,1962
20_69,44.961,784,estimates,1962
25_49,27.642,784,estimates,1962
25_64,33.744,784,estimates,1962
25_69,35.037,784,estimates,1962
15plus,57.749,784,estimates,1962
16plus,55.496,784,estimates,1962
17plus,53.256,784,estimates,1962
18plus,51.027,784,estimates,1962
20plus,46.61,784,estimates,1962
21plus,44.472,784,estimates,1962
25plus,36.686,784,estimates,1962
50plus,9.043,784,estimates,1962
60plus,4.531,784,estimates,1962
65plus,2.941,784,estimates,1962
70plus,1.648,784,estimates,1962
75plus,0.768,784,estimates,1962
80plus,0.284,784,estimates,1962
85plus,0.075,784,estimates,1962
90plus,0.012,784,estimates,1962
total,100,784,estimates,1962
"Region, subregion, country or area *",United Arab Emirates,784,estimates,1963
0_1,7.12,784,estimates,1963
0_4,16.316,784,estimates,1963
0_14,40.937,784,estimates,1963
0_17,47.712,784,estimates,1963
0_19,52.288,784,estimates,1963
0_24,62.991,784,estimates,1963
3_4,5.961,784,estimates,1963
3_5,8.74,784,estimates,1963
3_6,11.411,784,estimates,1963
4_5,5.685,784,estimates,1963
4_6,8.356,784,estimates,1963
5_14,24.621,784,estimates,1963
5_10,15.388,784,estimates,1963
5_11,17.745,784,estimates,1963
6_9,10.209,784,estimates,1963
6_10,12.609,784,estimates,1963
6_11,14.967,784,estimates,1963
6_12,17.287,784,estimates,1963
7_10,9.938,784,estimates,1963
7_12,14.616,784,estimates,1963
11_16,13.74,784,estimates,1963
11_17,16.008,784,estimates,1963
11_18,18.288,784,estimates,1963
12_14,6.876,784,estimates,1963
12_16,11.383,784,estimates,1963
12_17,13.651,784,estimates,1963
12_18,15.931,784,estimates,1963
13_17,11.33,784,estimates,1963
13_18,13.61,784,estimates,1963
13_19,15.906,784,estimates,1963
15_17,6.775,784,estimates,1963
18_23,13.299,784,estimates,1963
15_24,22.054,784,estimates,1963
15_49,50.824,784,estimates,1963
15_59,54.988,784,estimates,1963
15_64,56.342,784,estimates,1963
20_64,44.991,784,estimates,1963
20_69,46.163,784,estimates,1963
25_49,28.771,784,estimates,1963
25_64,34.289,784,estimates,1963
25_69,35.46,784,estimates,1963
15plus,59.063,784,estimates,1963
16plus,56.812,784,estimates,1963
17plus,54.556,784,estimates,1963
18plus,52.288,784,estimates,1963
20plus,47.712,784,estimates,1963
21plus,45.428,784,estimates,1963
25plus,37.009,784,estimates,1963
50plus,8.239,784,estimates,1963
60plus,4.075,784,estimates,1963
65plus,2.72,784,estimates,1963
70plus,1.549,784,estimates,1963
75plus,0.722,784,estimates,1963
80plus,0.268,784,estimates,1963
85plus,0.072,784,estimates,1963
90plus,0.012,784,estimates,1963
total,100,784,estimates,1963
"Region, subregion, country or area *",United Arab Emirates,784,estimates,1964
