region,year,variant,agebroad,feminityrato_femaleper100male
927,1950,estimates,total,98.5513238106769
927,1950,estimates,0_1,95.0668602182712
927,1950,estimates,0_4,95.3282918506099
927,1950,estimates,0_14,96.0248824480952
927,1950,estimates,0_17,96.0363897833495
927,1950,estimates,0_19,95.9849817694794
927,1950,estimates,0_24,95.8034514168008
927,1950,estimates,3_4,95.6274849195157
927,1950,estimates,3_5,95.7231435587725
927,1950,estimates,3_6,95.8167853499589
927,1950,estimates,4_5,95.8270911670453
927,1950,estimates,4_6,95.9222669431231
927,1950,estimates,5_10,96.3565657543372
927,1950,estimates,5_11,96.4237494484935
927,1950,estimates,5_14,96.5128886370962
927,1950,estimates,6_9,96.3832079348252
927,1950,estimates,6_10,96.4544682518944
927,1950,estimates,6_11,96.5199900916522
927,1950,estimates,6_12,96.5698250418852
927,1950,estimates,7_10,96.5458474358745
927,1950,estimates,7_12,96.6552458904802
927,1950,estimates,11_16,96.6164364448165
927,1950,estimates,11_17,96.5128217468377
927,1950,estimates,11_18,96.3947355934408
927,1950,estimates,12_14,96.761551345999
927,1950,estimates,12_16,96.5578118688545
927,1950,estimates,12_17,96.4450900556682
927,1950,estimates,12_18,96.3184646713777
927,1950,estimates,13_17,96.3466603236651
927,1950,estimates,13_18,96.214278559265
927,1950,estimates,13_19,96.0743327381351
927,1950,estimates,15plus,99.5057878696148
927,1950,estimates,15_17,96.1139808579549
927,1950,estimates,15_24,95.3917561279058
927,1950,estimates,15_49,95.7215208688644
927,1950,estimates,15_59,97.0205089091832
927,1950,estimates,15_64,97.4724286988819
927,1950,estimates,16plus,99.5664126256751
927,1950,estimates,17plus,99.6327469250692
927,1950,estimates,18plus,99.7071073800722
927,1950,estimates,18_23,95.0637119234022
927,1950,estimates,20plus,99.8916321498881
927,1950,estimates,20_64,97.6676955098706
927,1950,estimates,20_69,98.2241959092993
927,1950,estimates,21plus,100.004354268164
927,1950,estimates,25plus,100.554915947306
927,1950,estimates,25_49,95.856193956945
927,1950,estimates,25_64,98.0835019802454
927,1950,estimates,25_69,98.6972023276386
927,1950,estimates,50plus,108.367127181493
927,1950,estimates,60plus,112.28332028452
927,1950,estimates,65plus,116.849416338389
927,1950,estimates,70plus,122.883583227333
927,1950,estimates,75plus,128.728100309172
927,1950,estimates,80plus,138.590833577641
927,1950,estimates,85plus,144.469365426696
927,1950,estimates,90plus,145.398773006135
927,1955,estimates,total,97.7863755507222
927,1955,estimates,0_1,95.4293109495761
927,1955,estimates,0_4,95.4734852940023
927,1955,estimates,0_14,95.6048643188758
927,1955,estimates,0_17,95.6586842501474
927,1955,estimates,0_19,95.6098486889828
927,1955,estimates,0_24,95.0984554146039
927,1955,estimates,3_4,95.5161999323722
927,1955,estimates,3_5,95.5314488907212
927,1955,estimates,3_6,95.5463636860047
927,1955,estimates,4_5,95.5466639759074
927,1955,estimates,4_6,95.5617045983565
927,1955,estimates,5_10,95.6361610948814
927,1955,estimates,5_11,95.6422870450482
927,1955,estimates,5_14,95.6832231036234
927,1955,estimates,6_9,95.6409483965683
927,1955,estimates,6_10,95.6525136211633
927,1955,estimates,6_11,95.6574162509121
927,1955,estimates,6_12,95.6626707060805
927,1955,estimates,7_10,95.6690156450827
927,1955,estimates,7_12,95.6762335272856
927,1955,estimates,11_16,95.8661260530019
927,1955,estimates,11_17,95.8802222883795
927,1955,estimates,11_18,95.8269830795437
927,1955,estimates,12_14,95.8061967020332
927,1955,estimates,12_16,95.9073870312004
927,1955,estimates,12_17,95.9179199108804
927,1955,estimates,12_18,95.8507778073649
927,1955,estimates,13_17,95.9666613456394
927,1955,estimates,13_18,95.8792281294136
927,1955,estimates,13_19,95.7028812886393
927,1955,estimates,15plus,98.7100372005426
927,1955,estimates,15_17,96.0425956961296
927,1955,estimates,15_24,93.9778031324551
927,1955,estimates,15_49,94.0718424183918
927,1955,estimates,15_59,94.8365715232611
927,1955,estimates,15_64,95.8382398883239
927,1955,estimates,16plus,98.7661571344638
927,1955,estimates,17plus,98.8203668539678
927,1955,estimates,18plus,98.878357825769
927,1955,estimates,18_23,93.4133873627835
927,1955,estimates,20plus,99.039771630268
927,1955,estimates,20_64,95.8633806288947
927,1955,estimates,20_69,96.7519136104435
927,1955,estimates,21plus,99.1500622979243
927,1955,estimates,25plus,99.8296851014956
927,1955,estimates,25_49,94.1071076935793
927,1955,estimates,25_64,96.3464630068488
927,1955,estimates,25_69,97.318734801287
927,1955,estimates,50plus,109.612269341027
927,1955,estimates,60plus,118.797417073829
927,1955,estimates,65plus,122.363057718877
927,1955,estimates,70plus,129.306457096632
927,1955,estimates,75plus,137.526076165243
927,1955,estimates,80plus,147.866086493207
927,1955,estimates,85plus,156.931166347992
927,1955,estimates,90plus,157.445972495088
927,1960,estimates,total,98.1219729648085
927,1960,estimates,0_1,94.764130695626
927,1960,estimates,0_4,95.2289136218955
927,1960,estimates,0_14,95.4798750397982
927,1960,estimates,0_17,95.4388400317573
927,1960,estimates,0_19,95.4113843521505
927,1960,estimates,0_24,95.2836138295164
927,1960,estimates,3_4,95.6845243565754
927,1960,estimates,3_5,95.7512088801783
927,1960,estimates,3_6,95.7946674610859
927,1960,estimates,4_5,95.8324623745819
927,1960,estimates,4_6,95.864021387646
927,1960,estimates,5_10,95.8199230059495
927,1960,estimates,5_11,95.763201748395
927,1960,estimates,5_14,95.6188100629993
927,1960,estimates,6_9,95.8563815659997
927,1960,estimates,6_10,95.8061436961155
927,1960,estimates,6_11,95.7420471881118
927,1960,estimates,6_12,95.6776717093464
927,1960,estimates,7_10,95.7752402461227
927,1960,estimates,7_12,95.6351666670955
927,1960,estimates,11_16,95.2684467902777
927,1960,estimates,11_17,95.2503005307604
927,1960,estimates,11_18,95.2331226137011
927,1960,estimates,12_14,95.2563684090704
927,1960,estimates,12_16,95.234621083772
927,1960,estimates,12_17,95.2178059274493
927,1960,estimates,12_18,95.2016405186054
927,1960,estimates,13_17,95.202656264683
927,1960,estimates,13_18,95.1854465492418
927,1960,estimates,13_19,95.1682023008297
927,1960,estimates,15plus,99.3147191869999
927,1960,estimates,15_17,95.1717862099668
927,1960,estimates,15_24,94.8550144386924
927,1960,estimates,15_49,94.6020639387471
927,1960,estimates,15_59,94.658847031193
927,1960,estimates,15_64,95.5682561714105
927,1960,estimates,16plus,99.4178414553778
927,1960,estimates,17plus,99.5206349191212
927,1960,estimates,18plus,99.6235242908568
927,1960,estimates,18_23,94.8632240362925
927,1960,estimates,20plus,99.8354131383007
927,1960,estimates,20_64,95.6300149826896
927,1960,estimates,20_69,96.9686811449534
927,1960,estimates,21plus,99.9462752306613
927,1960,estimates,25plus,100.476867490088
927,1960,estimates,25_49,94.4955473624373
927,1960,estimates,25_64,95.7832348441483
927,1960,estimates,25_69,97.2900298661116
927,1960,estimates,50plus,110.187691115423
927,1960,estimates,60plus,123.964389638751
927,1960,estimates,65plus,130.438788923972
927,1960,estimates,70plus,135.417501395495
927,1960,estimates,75plus,145.670122250687
927,1960,estimates,80plus,159.159689922481
927,1960,estimates,85plus,173.872646786983
927,1960,estimates,90plus,188.567170534384
927,1965,estimates,total,98.6833197456754
927,1965,estimates,0_1,94.8821922200771
927,1965,estimates,0_4,95.1144079187261
927,1965,estimates,0_14,95.3347953013458
927,1965,estimates,0_17,95.3179391290283
927,1965,estimates,0_19,95.2940144911419
927,1965,estimates,0_24,95.2107321220617
927,1965,estimates,3_4,95.3275713797145
927,1965,estimates,3_5,95.3675709992053
927,1965,estimates,3_6,95.3992066330026
927,1965,estimates,4_5,95.4122071932266
927,1965,estimates,4_6,95.4397496017712
927,1965,estimates,5_10,95.4987307500928
927,1965,estimates,5_11,95.4911412387869
927,1965,estimates,5_14,95.4522437724994
927,1965,estimates,6_9,95.5143288447933
927,1965,estimates,6_10,95.5091888712559
927,1965,estimates,6_11,95.4986081774818
927,1965,estimates,6_12,95.4843622825185
927,1965,estimates,7_10,95.5127175742004
927,1965,estimates,7_12,95.4824069207495
927,1965,estimates,11_16,95.3358986056291
927,1965,estimates,11_17,95.3132646370523
927,1965,estimates,11_18,95.287191191131
927,1965,estimates,12_14,95.3549911751783
927,1965,estimates,12_16,95.3140025922984
927,1965,estimates,12_17,95.2910859492927
927,1965,estimates,12_18,95.264182379933
927,1965,estimates,13_17,95.2703017164373
927,1965,estimates,13_18,95.2421334241925
927,1965,estimates,13_19,95.2095578601603
927,1965,estimates,15plus,100.16557739202
927,1965,estimates,15_17,95.2264209711938
927,1965,estimates,15_24,94.9795603095867
927,1965,estimates,15_49,94.9830346079907
927,1965,estimates,15_59,95.3491946510478
927,1965,estimates,15_64,95.7799851834039
927,1965,estimates,16plus,100.303112099681
927,1965,estimates,17plus,100.449602454725
927,1965,estimates,18plus,100.604017343006
927,1965,estimates,18_23,94.8501619464825
927,1965,estimates,20plus,100.926628648108
927,1965,estimates,20_64,95.887281993208
927,1965,estimates,20_69,97.1042511786651
927,1965,estimates,21plus,101.09275895093
927,1965,estimates,25plus,101.781453511563
927,1965,estimates,25_49,94.9848284751961
927,1965,estimates,25_64,96.0680748078221
927,1965,estimates,25_69,97.4585386341054
927,1965,estimates,50plus,112.12479814018
927,1965,estimates,60plus,126.37583724388
927,1965,estimates,65plus,138.609772195444
927,1965,estimates,70plus,150.021882552747
927,1965,estimates,75plus,158.464907294951
927,1965,estimates,80plus,173.575572182492
927,1965,estimates,85plus,192.609777702788
927,1965,estimates,90plus,216.372021521906
927,1970,estimates,total,99.0752878267922
927,1970,estimates,0_1,96.1230333133129
927,1970,estimates,0_4,95.7369147053304
927,1970,estimates,0_14,95.4956737919546
927,1970,estimates,0_17,95.6300482516548
927,1970,estimates,0_19,95.7017520184518
927,1970,estimates,0_24,95.6994706885924
927,1970,estimates,3_4,95.3844355419631
927,1970,estimates,3_5,95.3248353274844
927,1970,estimates,3_6,95.2822274094513
927,1970,estimates,4_5,95.2568485604014
927,1970,estimates,4_6,95.2228818991993
927,1970,estimates,5_10,95.203757738773
927,1970,estimates,5_11,95.2313758670794
927,1970,estimates,5_14,95.375706143448
927,1970,estimates,6_9,95.1765150379696
927,1970,estimates,6_10,95.2032556873382
927,1970,estimates,6_11,95.2355292764092
927,1970,estimates,6_12,95.2765265879451
927,1970,estimates,7_10,95.215196823129
927,1970,estimates,7_12,95.2966718671453
927,1970,estimates,11_16,95.845374416028
927,1970,estimates,11_17,95.9396279770837
927,1970,estimates,11_18,96.0065887031545
927,1970,estimates,12_14,95.7229862644206
927,1970,estimates,12_16,95.941155194332
927,1970,estimates,12_17,96.0376573273195
927,1970,estimates,12_18,96.1019728349138
927,1970,estimates,13_17,96.1496621380932
927,1970,estimates,13_18,96.208047693452
927,1970,estimates,13_19,96.2257086417497
927,1970,estimates,15plus,100.614245943859
927,1970,estimates,15_17,96.3837153829077
927,1970,estimates,15_24,96.0454804776251
927,1970,estimates,15_49,95.0125795395669
927,1970,estimates,15_59,95.9840773442341
927,1970,estimates,15_64,96.6170085561837
927,1970,estimates,16plus,100.734785499757
927,1970,estimates,17plus,100.850350721701
927,1970,estimates,18plus,100.965448389821
927,1970,estimates,18_23,96.0442063055719
927,1970,estimates,20plus,101.22614219244
927,1970,estimates,20_64,96.6524948941142
927,1970,estimates,20_69,97.3199894232329
927,1970,estimates,21plus,101.378855919307
927,1970,estimates,25plus,102.163442657764
927,1970,estimates,25_49,94.4373306831918
927,1970,estimates,25_64,96.8405832769335
927,1970,estimates,25_69,97.6194740749917
927,1970,estimates,50plus,114.189651496596
927,1970,estimates,60plus,126.180890402225
927,1970,estimates,65plus,136.804190509472
927,1970,estimates,70plus,155.652943890077
927,1970,estimates,75plus,172.050845099812
927,1970,estimates,80plus,184.432880578585
927,1970,estimates,85plus,213.188356294357
927,1970,estimates,90plus,240.515106488361
927,1975,estimates,total,99.6034048695519
927,1975,estimates,0_1,95.722668313774
927,1975,estimates,0_4,95.8878671724494
927,1975,estimates,0_14,95.3554088252508
927,1975,estimates,0_17,95.4188980788183
927,1975,estimates,0_19,95.5249534297406
927,1975,estimates,0_24,95.8402322990463
927,1975,estimates,3_4,96.0051746606507
927,1975,estimates,3_5,95.9536288061682
927,1975,estimates,3_6,95.8832691490239
927,1975,estimates,4_5,95.9138964404382
927,1975,estimates,4_6,95.8332627656872
927,1975,estimates,5_10,95.346186504691
927,1975,estimates,5_11,95.2356453590659
927,1975,estimates,5_14,95.0907192626947
927,1975,estimates,6_9,95.3545656994677
927,1975,estimates,6_10,95.247434202575
927,1975,estimates,6_11,95.1358318993743
927,1975,estimates,6_12,95.0461288434827
927,1975,estimates,7_10,95.1433330955047
927,1975,estimates,7_12,94.944885968675
927,1975,estimates,11_16,94.9971916096919
927,1975,estimates,11_17,95.1481418322014
927,1975,estimates,11_18,95.2973449669273
927,1975,estimates,12_14,94.7613412388122
927,1975,estimates,12_16,95.0788830784024
927,1975,estimates,12_17,95.2423867385581
927,1975,estimates,12_18,95.4006511880719
927,1975,estimates,13_17,95.3907554419003
927,1975,estimates,13_18,95.5526766693487
927,1975,estimates,13_19,95.70484640999
927,1975,estimates,15plus,101.2990046925
927,1975,estimates,15_17,95.7419411664783
927,1975,estimates,15_24,96.623115069527
927,1975,estimates,15_49,95.5486998059426
927,1975,estimates,15_59,96.3668711649248
927,1975,estimates,15_64,97.0775584975979
927,1975,estimates,16plus,101.459776177455
927,1975,estimates,17plus,101.617582368727
927,1975,estimates,18plus,101.772051701072
927,1975,estimates,18_23,97.001529681375
927,1975,estimates,20plus,102.073656111001
927,1975,estimates,20_64,97.249311728691
927,1975,estimates,20_69,98.0882255734046
927,1975,estimates,21plus,102.220858311831
927,1975,estimates,25plus,102.834340855182
927,1975,estimates,25_49,94.9666581937557
927,1975,estimates,25_64,97.2503373691105
927,1975,estimates,25_69,98.2327539635518
927,1975,estimates,50plus,114.941391024812
927,1975,estimates,60plus,127.55189078646
927,1975,estimates,65plus,138.198204839338
927,1975,estimates,70plus,155.964565471898
927,1975,estimates,75plus,183.547862428505
927,1975,estimates,80plus,211.54994424661
927,1975,estimates,85plus,228.836343581966
927,1975,estimates,90plus,274.156804733728
927,1980,estimates,total,100.442284152132
927,1980,estimates,0_1,95.1632727763115
927,1980,estimates,0_4,95.6114478833956
927,1980,estimates,0_14,95.7910433567129
927,1980,estimates,0_17,95.8031103633465
927,1980,estimates,0_19,95.8421067452258
927,1980,estimates,0_24,96.063803012297
927,1980,estimates,3_4,95.9496321246387
927,1980,estimates,3_5,95.9861958664574
927,1980,estimates,3_6,96.006156824475
927,1980,estimates,4_5,96.0307856598981
927,1980,estimates,4_6,96.0419189177905
927,1980,estimates,5_10,95.9810693350435
927,1980,estimates,5_11,95.9458913541389
927,1980,estimates,5_14,95.869753938724
927,1980,estimates,6_9,95.9996089131145
927,1980,estimates,6_10,95.9663096711695
927,1980,estimates,6_11,95.9278043416724
927,1980,estimates,6_12,95.8914480184433
927,1980,estimates,7_10,95.9421727946508
927,1980,estimates,7_12,95.8627867999295
927,1980,estimates,11_16,95.7401442960065
927,1980,estimates,11_17,95.7701741862792
927,1980,estimates,11_18,95.8104200355201
927,1980,estimates,12_14,95.6907710697615
927,1980,estimates,12_16,95.7416986115914
927,1980,estimates,12_17,95.7763873969729
927,1980,estimates,12_18,95.8213840358257
927,1980,estimates,13_17,95.7972613470903
927,1980,estimates,13_18,95.8460549167338
927,1980,estimates,13_19,95.9060571267652
927,1980,estimates,15plus,102.094038931347
927,1980,estimates,15_17,95.8597011447146
927,1980,estimates,15_24,96.4600062847489
927,1980,estimates,15_49,96.7103002749962
927,1980,estimates,15_59,96.9604599909738
927,1980,estimates,15_64,97.683219397928
927,1980,estimates,16plus,102.256291058707
927,1980,estimates,17plus,102.427006229353
927,1980,estimates,18plus,102.604801452606
927,1980,estimates,18_23,96.5804254732615
927,1980,estimates,20plus,102.972061280712
927,1980,estimates,20_64,97.9623165122319
927,1980,estimates,20_69,98.9111716934717
927,1980,estimates,21plus,103.159683643198
927,1980,estimates,25plus,103.917140047407
927,1980,estimates,25_49,96.8450208910734
927,1980,estimates,25_64,98.1465958811985
927,1980,estimates,25_69,99.246639233275
927,1980,estimates,50plus,114.577829118196
927,1980,estimates,60plus,128.578790451187
927,1980,estimates,65plus,137.725071882138
927,1980,estimates,70plus,153.516763763131
927,1980,estimates,75plus,179.308140490585
927,1980,estimates,80plus,223.112160210395
927,1980,estimates,85plus,266.651356482332
927,1980,estimates,90plus,292.30490456632
927,1985,estimates,total,100.552636236581
927,1985,estimates,0_1,95.2990475464313
927,1985,estimates,0_4,95.1844567132874
927,1985,estimates,0_14,95.4148639396166
927,1985,estimates,0_17,95.4751512693822
927,1985,estimates,0_19,95.5202109214919
927,1985,estimates,0_24,95.7264716384379
927,1985,estimates,3_4,95.0823680322031
927,1985,estimates,3_5,95.0939479414678
927,1985,estimates,3_6,95.1166095726967
927,1985,estimates,4_5,95.0988240735799
927,1985,estimates,4_6,95.1274295610157
927,1985,estimates,5_10,95.341661380672
927,1985,estimates,5_11,95.3999868224132
927,1985,estimates,5_14,95.523625837652
927,1985,estimates,6_9,95.3290531045683
927,1985,estimates,6_10,95.3835247976044
927,1985,estimates,6_11,95.4431728423994
927,1985,estimates,6_12,95.4972408554721
927,1985,estimates,7_10,95.4301439887044
927,1985,estimates,7_12,95.5443642408018
927,1985,estimates,11_16,95.7583800888396
927,1985,estimates,11_17,95.7611476615977
927,1985,estimates,11_18,95.7720138571481
927,1985,estimates,12_14,95.7805882410478
927,1985,estimates,12_16,95.7674111184814
927,1985,estimates,12_17,95.7691722738736
927,1985,estimates,12_18,95.7804655584059
927,1985,estimates,13_17,95.7651996133849
927,1985,estimates,13_18,95.7790787203771
927,1985,estimates,13_19,95.8047093625508
927,1985,estimates,15plus,102.208569409041
927,1985,estimates,15_17,95.7573785599379
927,1985,estimates,15_24,96.1619184073599
927,1985,estimates,15_49,97.1270165986711
927,1985,estimates,15_59,97.0172486708859
927,1985,estimates,15_64,97.5674066299749
927,1985,estimates,16plus,102.362254189155
927,1985,estimates,17plus,102.521055596577
927,1985,estimates,18plus,102.685565232568
927,1985,estimates,18_23,96.2006848086514
927,1985,estimates,20plus,103.036483791155
927,1985,estimates,20_64,97.8278615960696
927,1985,estimates,20_69,98.7689543703385
927,1985,estimates,21plus,103.223617829313
927,1985,estimates,25plus,104.021279231589
927,1985,estimates,25_49,97.5994028183054
927,1985,estimates,25_64,98.0623546744761
927,1985,estimates,25_69,99.1454402511021
927,1985,estimates,50plus,114.170875799961
927,1985,estimates,60plus,127.276775069465
927,1985,estimates,65plus,138.134950074797
927,1985,estimates,70plus,151.596680181477
927,1985,estimates,75plus,174.317894760374
927,1985,estimates,80plus,213.618045742398
927,1985,estimates,85plus,277.916579002735
927,1985,estimates,90plus,351.544783106211
927,1990,estimates,total,100.96401800894
927,1990,estimates,0_1,95.1066687989765
927,1990,estimates,0_4,95.135858918226
927,1990,estimates,0_14,95.0625248836622
927,1990,estimates,0_17,95.1722503022012
927,1990,estimates,0_19,95.3096456601844
927,1990,estimates,0_24,95.8557942113501
927,1990,estimates,3_4,95.1504995653215
927,1990,estimates,3_5,95.1340764023007
927,1990,estimates,3_6,95.1143770170221
927,1990,estimates,4_5,95.1199087372689
927,1990,estimates,4_6,95.0982898849006
927,1990,estimates,5_10,94.997618783978
927,1990,estimates,5_11,94.9858551197803
927,1990,estimates,5_14,95.0251450826999
927,1990,estimates,6_9,94.9910346873751
927,1990,estimates,6_10,94.9764807787173
927,1990,estimates,6_11,94.9661502048761
927,1990,estimates,6_12,94.9662085383982
927,1990,estimates,7_10,94.9565675092153
927,1990,estimates,7_12,94.9510825107706
927,1990,estimates,11_16,95.2398926793157
927,1990,estimates,11_17,95.3409944638224
927,1990,estimates,11_18,95.4601427701132
927,1990,estimates,12_14,95.1161335396406
927,1990,estimates,12_16,95.3008759522569
927,1990,estimates,12_17,95.4065100654061
927,1990,estimates,12_18,95.5312039286575
927,1990,estimates,13_17,95.4863524946057
927,1990,estimates,13_18,95.6158139350123
927,1990,estimates,13_19,95.766595726814
927,1990,estimates,15plus,102.717364760087
927,1990,estimates,15_17,95.6692462968313
927,1990,estimates,15_24,96.951014082609
927,1990,estimates,15_49,98.2155051657479
927,1990,estimates,15_59,98.0554469155843
927,1990,estimates,15_64,98.217449826429
927,1990,estimates,16plus,102.874433247865
927,1990,estimates,17plus,103.040471291727
927,1990,estimates,18plus,103.212128166606
927,1990,estimates,18_23,97.3019934637609
927,1990,estimates,20plus,103.54850785187
927,1990,estimates,20_64,98.5379519122171
927,1990,estimates,20_69,99.2746233723448
927,1990,estimates,21plus,103.708349804542
927,1990,estimates,25plus,104.298476800649
927,1990,estimates,25_49,98.77490772978
927,1990,estimates,25_64,98.6293517011753
927,1990,estimates,25_69,99.4693740004918
927,1990,estimates,50plus,113.303042664829
927,1990,estimates,60plus,124.122620797658
927,1990,estimates,65plus,134.748884049576
927,1990,estimates,70plus,149.596002927149
927,1990,estimates,75plus,169.302672099947
927,1990,estimates,80plus,202.807487549373
927,1990,estimates,85plus,259.885033444816
927,1990,estimates,90plus,357.565966612816
927,1995,estimates,total,101.305607511588
927,1995,estimates,0_1,94.4049461850942
927,1995,estimates,0_4,94.7395689542988
927,1995,estimates,0_14,94.9542262066824
927,1995,estimates,0_17,94.9699961298657
927,1995,estimates,0_19,95.0631230429936
927,1995,estimates,0_24,95.631201147885
927,1995,estimates,3_4,95.0415518383217
927,1995,estimates,3_5,95.0816632950126
927,1995,estimates,3_6,95.1076928725953
927,1995,estimates,4_5,95.1308695465923
927,1995,estimates,4_6,95.1492621150998
927,1995,estimates,5_10,95.1324686431601
927,1995,estimates,5_11,95.1134897559831
927,1995,estimates,5_14,95.063655764111
927,1995,estimates,6_9,95.1480655025807
927,1995,estimates,6_10,95.1264759646263
927,1995,estimates,6_11,95.1053013798112
927,1995,estimates,6_12,95.0851328206334
927,1995,estimates,7_10,95.1114505185669
927,1995,estimates,7_12,95.0681537834253
927,1995,estimates,11_16,94.9658493594788
927,1995,estimates,11_17,94.998309630598
927,1995,estimates,11_18,95.0763413843858
927,1995,estimates,12_14,94.9456584153764
927,1995,estimates,12_16,94.9591217005373
927,1995,estimates,12_17,94.9982069023711
927,1995,estimates,12_18,95.0876093423474
927,1995,estimates,13_17,95.005328073422
927,1995,estimates,13_18,95.1087145994817
927,1995,estimates,13_19,95.2656919570701
927,1995,estimates,15plus,103.148162355814
927,1995,estimates,15_17,95.0518474310744
927,1995,estimates,15_24,96.6255037799328
927,1995,estimates,15_49,99.0764575360566
927,1995,estimates,15_59,98.7695132988895
927,1995,estimates,15_64,98.8777999519872
927,1995,estimates,16plus,103.304446028948
927,1995,estimates,17plus,103.464622547531
927,1995,estimates,18plus,103.62747880305
927,1995,estimates,18_23,96.9704865549424
927,1995,estimates,20plus,103.956046789445
927,1995,estimates,20_64,99.3030210133042
927,1995,estimates,20_69,99.6673085728235
927,1995,estimates,21plus,104.120825935653
927,1995,estimates,25plus,104.75360753392
927,1995,estimates,25_49,100.063259693061
927,1995,estimates,25_64,99.5423416298632
927,1995,estimates,25_69,99.9430462436598
927,1995,estimates,50plus,112.130953181243
927,1995,estimates,60plus,122.62763535667
927,1995,estimates,65plus,130.974807147302
927,1995,estimates,70plus,145.240212030731
927,1995,estimates,75plus,166.288225413001
927,1995,estimates,80plus,196.349419527447
927,1995,estimates,85plus,243.117291488582
927,1995,estimates,90plus,326.355225436539
927,2000,estimates,total,101.018674428663
927,2000,estimates,0_1,94.5282750964877
927,2000,estimates,0_4,93.6122303863475
927,2000,estimates,0_14,93.4717629532431
927,2000,estimates,0_17,93.7155591423854
927,2000,estimates,0_19,93.9391222971678
927,2000,estimates,0_24,94.7736451010687
927,2000,estimates,3_4,92.8578847563455
927,2000,estimates,3_5,92.7711174929286
927,2000,estimates,3_6,92.7258001091658
927,2000,estimates,4_5,92.6631739155886
927,2000,estimates,4_6,92.6393950880058
927,2000,estimates,5_10,92.8723310560022
927,2000,estimates,5_11,93.0069394878655
927,2000,estimates,5_14,93.4049009457079
927,2000,estimates,6_9,92.8056762395058
927,2000,estimates,6_10,92.9264518615425
927,2000,estimates,6_11,93.0746295890103
927,2000,estimates,6_12,93.2297754947998
927,2000,estimates,7_10,93.0102749075026
927,2000,estimates,7_12,93.3372428065855
927,2000,estimates,11_16,94.420920497066
927,2000,estimates,11_17,94.5368185320747
927,2000,estimates,11_18,94.6828361027761
927,2000,estimates,12_14,94.3622820640079
927,2000,estimates,12_16,94.5410388831265
927,2000,estimates,12_17,94.6568333995704
927,2000,estimates,12_18,94.8074776616591
927,2000,estimates,13_17,94.75230192441
927,2000,estimates,13_18,94.9129097686269
927,2000,estimates,13_19,95.1132400300821
927,2000,estimates,15plus,103.145597338453
927,2000,estimates,15_17,94.9546454290322
927,2000,estimates,15_24,96.8468120069281
927,2000,estimates,15_49,99.8297665203505
927,2000,estimates,15_59,99.3304339320539
927,2000,estimates,15_64,99.2950234055983
927,2000,estimates,16plus,103.305177810097
927,2000,estimates,17plus,103.466461655482
927,2000,estimates,18plus,103.626456228394
927,2000,estimates,18_23,97.3584432133983
927,2000,estimates,20plus,103.924129924437
927,2000,estimates,20_64,99.7582301032529
927,2000,estimates,20_69,99.9354867956683
927,2000,estimates,21plus,104.058010373216
927,2000,estimates,25plus,104.500054871237
927,2000,estimates,25_49,100.929739121328
927,2000,estimates,25_64,99.9285688622253
927,2000,estimates,25_69,100.1162868067
927,2000,estimates,50plus,109.494537105138
927,2000,estimates,60plus,119.153322066525
927,2000,estimates,65plus,126.972259095755
927,2000,estimates,70plus,138.271235792674
927,2000,estimates,75plus,159.373472515637
927,2000,estimates,80plus,194.799764724121
927,2000,estimates,85plus,233.925927626218
927,2000,estimates,90plus,302.717366102481
927,2005,estimates,total,101.034030115677
927,2005,estimates,0_1,95.0525483034762
927,2005,estimates,0_4,94.9687635260062
927,2005,estimates,0_14,93.7934272189153
927,2005,estimates,0_17,93.8740549770256
927,2005,estimates,0_19,94.0042025052854
927,2005,estimates,0_24,94.4832003655891
927,2005,estimates,3_4,94.8263598587419
927,2005,estimates,3_5,94.6866620319794
927,2005,estimates,3_6,94.532430915025
927,2005,estimates,4_5,94.559508656591
927,2005,estimates,4_6,94.3978359088528
927,2005,estimates,5_10,93.5923117208975
927,2005,estimates,5_11,93.4397772727654
927,2005,estimates,5_14,93.2506941953313
927,2005,estimates,6_9,93.5861948506011
927,2005,estimates,6_10,93.4356506485984
927,2005,estimates,6_11,93.2861751572749
927,2005,estimates,6_12,93.1704378195714
927,2005,estimates,7_10,93.28050509894
927,2005,estimates,7_12,93.0266918915712
927,2005,estimates,11_16,93.1751147243995
927,2005,estimates,11_17,93.3994924544465
927,2005,estimates,11_18,93.6034470579925
927,2005,estimates,12_14,92.83209350767
927,2005,estimates,12_16,93.2957705336127
927,2005,estimates,12_17,93.5381528256947
927,2005,estimates,12_18,93.7520865043484
927,2005,estimates,13_17,93.7481600579723
927,2005,estimates,13_18,93.9640848428877
927,2005,estimates,13_19,94.1434736889116
927,2005,estimates,15plus,102.940406228615
927,2005,estimates,15_17,94.262816726433
927,2005,estimates,15_24,95.4858165296234
927,2005,estimates,15_49,99.6309916651491
927,2005,estimates,15_59,99.6763491367023
927,2005,estimates,15_64,99.6507055443475
927,2005,estimates,16plus,103.113134240936
927,2005,estimates,17plus,103.279453334449
927,2005,estimates,18plus,103.441617535369
927,2005,estimates,18_23,95.7325550260754
927,2005,estimates,20plus,103.772325393178
927,2005,estimates,20_64,100.250046038514
927,2005,estimates,20_69,100.347583628318
927,2005,estimates,21plus,103.942682426917
927,2005,estimates,25plus,104.589394446482
927,2005,estimates,25_49,101.279993857784
927,2005,estimates,25_64,100.771650672933
927,2005,estimates,25_69,100.847656128005
927,2005,estimates,50plus,108.734472949639
